popualtion,record_date,method,estimation,individuals_captured,total_number_of_captures,number_of_male_individuals_captured,total_number_of_male_captures,number_of_female_individuals_captured,total_number_of_female_captures,est_n,standard_error,notes
I,23-Jul-96,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
J,23-Jul-96,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
K,23-Jul-96,Mark-recapture,Craig,5,6,5,6,0,0,15.9,0.2003,
L,23-Jul-96,Mark-recapture,Craig,2,5,2,5,0,0,2.2,0.1243,
M,23-Jul-96,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
d,25-Jul-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
D,25-Jul-96,Mark-recapture,Craig,29,43,28,42,1,1,50.8,0.0,
E,25-Jul-96,Mark-recapture,Craig,28,41,26,38,2,3,50.1,0.0,
F,26-Jul-96,Mark-recapture,Craig,12,22,12,22,0,0,16.1,0.0001,
Y,26-Jul-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
Z,26-Jul-96,Mark-recapture,Craig,6,10,6,10,0,0,8.9,0.0201,
N,27-Jul-96,Mark-recapture,Capture to Craig,2,2,1,1,1,1,3.0,1.9861,
O,27-Jul-96,Mark-recapture,Craig,2,3,2,3,0,0,3.4,0.4597,
P,27-Jul-96,Mark-recapture,Craig,9,11,8,10,1,1,26.5,0.021,
Q,27-Jul-96,Mark-recapture,Craig,12,19,10,17,2,2,19.0,0.0003,
R,27-Jul-96,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
S,27-Jul-96,Mark-recapture,Craig,3,4,3,4,0,0,6.6,0.3648,
g,29-Jul-96,Mark-recapture,Craig,35,61,30,56,5,5,49.3,0.0,
G,29-Jul-96,Mark-recapture,Craig,35,62,35,62,0,0,48.5,0.0,
H,29-Jul-96,Mark-recapture,Craig,15,21,13,19,2,2,29.4,0.0001,
I,29-Jul-96,Mark-recapture,Craig,12,16,8,11,4,5,26.4,0.0017,
K,29-Jul-96,Mark-recapture,Craig,16,22,15,21,1,1,32.6,0.0001,
J,30-Jul-96,Mark-recapture,Craig,14,17,13,16,1,1,42.3,0.0013,
L,30-Jul-96,Mark-recapture,Craig,21,27,17,23,4,4,51.4,0.0,
M,30-Jul-96,Mark-recapture,Craig,48,70,43,65,5,5,86.6,0.0,
M,31-Jul-96,Mark-recapture,Capture to Craig,10,10,9,9,1,1,20.0,1.9743,
N,31-Jul-96,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
O,31-Jul-96,Mark-recapture,Craig,11,12,11,12,0,0,67.9,0.0204,Poor estimate (22.3 from conversion may be more realistic)
P,31-Jul-96,Mark-recapture,Craig,19,28,15,23,4,5,33.6,0.0,
Q,31-Jul-96,Mark-recapture,Craig,25,28,22,25,3,3,121.2,0.0,Poor estimate (58.3 from conversion may be more realistic)
